name,symbol,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,last_updated
Bitcoin,btc,64070.0,1285095669815,1,27492943727,-1.3635,2026-07-16T18:42:41.321Z
Ethereum,eth,1870.96,225817058926,2,10849306471,-2.96462,2026-07-16T18:42:42.815Z
Tether,usdt,0.999211,184059616216,3,42961055612,-0.00646,2026-07-16T18:42:24.144Z
BNB,bnb,574.94,76561417150,4,540644917,-0.9733,2026-07-16T18:42:41.189Z
USDC,usdc,0.999824,73188002943,5,10847116310,0.00082,2026-07-16T18:42:31.119Z
XRP,xrp,1.088,67988876176,6,1047398243,-2.38596,2026-07-16T18:42:27.282Z
Solana,sol,75.44,43951634706,7,1726889779,-3.0672,2026-07-16T18:42:32.895Z
TRON,trx,0.322863,30629384444,8,327581155,-0.52245,2026-07-16T18:42:38.395Z
Figure Heloc,figr_heloc,1.034,20717850298,9,13369574,-0.21647,2026-07-16T18:42:32.736Z
Hyperliquid,hype,62.59,13924164924,10,457191271,-8.11081,2026-07-16T18:42:41.971Z
