id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,64070.0,1285095669815,1,1285096694961,27492943727,64981.0,63866.0,-885.6709636764353,-1.3635,-17827908368.751953,-1.3683,20057184.0,20057200.0,21000000.0,126080.0,-49.18307,2025-10-06T18:57:42.558Z,67.81,94385.8768,2013-07-06T00:00:00.000Z,,2026-07-16T18:42:41.321Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1870.96,225817058926,2,225817058926,10849306471,1928.13,1866.3,-57.1615799851304,-2.96462,-6913703996.513092,-2.97069,120682912.9279759,120682912.9279759,,4946.05,-62.17254,2025-08-24T19:21:03.333Z,0.432979,432014.53779,2015-10-20T00:00:00.000Z,"{'times': 38.037229801940114, 'currency': 'btc', 'percentage': 3803.7229801940116}",2026-07-16T18:42:42.815Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999211,184059616216,3,189522249410,42961055612,0.999395,0.999088,-6.4543301724673e-05,-0.00646,-157345270.261261,-0.08541,184204791269.4221,189671733057.0762,,1.32,-24.47561,2018-07-24T00:00:00.000Z,0.572521,74.53677,2015-03-02T00:00:00.000Z,,2026-07-16T18:42:24.144Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,574.94,76561417150,4,76561416155,540644917,584.09,574.64,-5.65087870259822,-0.9733,-751961021.3985596,-0.97261,133166075.04,133166073.31,200000000.0,1369.99,-58.03362,2025-10-13T08:41:24.131Z,0.0398177,1443820.45335,2017-10-19T00:00:00.000Z,,2026-07-16T18:42:41.189Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.999824,73188002943,5,73199472632,10847116310,1.0,0.999746,8.23e-06,0.00082,178771521.0,0.24486,73200788383.49031,73212260076.00812,,1.043,-4.17831,2018-11-15T00:00:00.000Z,0.877647,13.92574,2023-03-11T08:02:13.981Z,,2026-07-16T18:42:31.119Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.088,67988876176,6,108824904127,1047398243,1.12,1.089,-0.026603673594733257,-2.38596,-1676325395.641243,-2.40626,62466503703.0,99985639695.0,100000000000.0,3.65,-70.15109,2025-07-18T03:40:53.808Z,0.00268621,40418.24958,2014-05-22T00:00:00.000Z,,2026-07-16T18:42:27.282Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,75.44,43951634706,7,47570881141,1726889779,77.83,75.48,-2.387100207958113,-3.0672,-1381513342.8344345,-3.04747,582517991.678116,630486086.1242958,,293.31,-74.28007,2025-01-19T11:15:27.957Z,0.500801,14963.78968,2020-05-11T19:35:23.449Z,,2026-07-16T18:42:32.895Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/photo_2026-04-13_09-59-16.png?1776048311,0.322863,30629384444,8,30629403849,327581155,0.324904,0.322856,-0.001695667688458691,-0.52245,-169970314.19082642,-0.55186,94868265219.9689,94868325322.6225,,0.431288,-25.1398,2024-12-04T00:10:40.323Z,0.00180434,17793.69053,2017-11-12T00:00:00.000Z,"{'times': 168.92805694916893, 'currency': 'usd', 'percentage': 16892.805694916893}",2026-07-16T18:42:38.395Z
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.034,20717850298,9,20717850298,13369574,1.037,1.034,-0.002242599999999983,-0.21647,16319864.0,0.07883,20041924373.238,20041924373.238,,1.049,-1.30744,2026-03-09T17:00:25.937Z,0.155357,566.46798,2025-10-31T14:27:24.456Z,,2026-07-16T18:42:32.736Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,62.59,13924164924,10,59798200125,457191271,68.12,62.09,-5.525065868880773,-8.11081,-1235777120.0572376,-8.1516,222445714.0741414,955307079.4341414,1000000000.0,76.7,-18.39343,2026-06-16T13:02:04.375Z,3.81,1543.45007,2024-11-29T09:30:30.871Z,,2026-07-16T18:42:41.971Z
